Water,Eau,Wasser,Acqua,みず,물,Agua
Normal,Normal,Normal,Normale,ノーマル,노말,Normal
Fighting,Combat,Kampf,Lotta,かくとう,격투,Lucha
Flying,Vol,Flug,Volante,ひこう,비행,Volador
Poison,Poison,Gift,Veleno,どく,독,Veneno
Ground,Sol,Boden,Terra,じめん,땅,Tierra
Rock,Roche,Gestein,Roccia,いわ,바위,Roca
Bug,Insecte,Käfer,Coleottero,むし,벌레,Bicho
Ghost,Spectre,Geist,Spettro,ゴースト,고스트,Fantasma
Steel,Acier,Stahl,Acciaio,はがね,강철,Acero
Fire,Feu,Feuer,Fuoco,ほのお,불꽃,Fuego
Grass,Plante,Pflanze,Erba,くさ,풀,Planta
Electric,Électrique,Elektro,Elettro,でんき,전기,Eléctrico
Psychic,Psy,Psycho,Psico,エスパー,에스퍼,Psíquico
Ice,Glace,Eis,Ghiaccio,こおり,얼음,Hielo
Dragon,Dragon,Drache,Drago,ドラゴン,드래곤,Dragón
Dark,Ténèbres,Unlicht,Buio,あく,악,Siniestro
Fairy,Fée,Fee,Folletto,フェアリー,페어리,Hada
Pokémon Center,Centre Pokémon,Pokémon-Center,Centro Pokémon,ポケモンセンター,포켓몬센터,Centro Pokémon
PokéMart,Boutique Pokémon,Pokémon-Markt,Pokémon Market,フレンドリィショップ,프렌들리숍,Tienda Pokémon
Gym,Arène,Arena,Palestra,ジム,체육관,Gimnasio
HP,PV (Points de Vie),KP (Kraftpunkte),PS (Punti Salute),ヒットポイント,히트포인트,PS (Puntos de Salud)
Attack,Attaque,Angriff,Attacco,こうげき,공격,Ataque
Special Attack,Attaque Spéciale,Spezial-Angriff,Attacco Speciale,とくこう,특수공격,Ataque Especial
Defense,Défense,Verteidigung,Difesa,ぼうぎょ,방어,Defensa
Special Defense,Défense Spéciale,Spezial-Verteidigung,Difesa Speciale,とくぼう,특수방어,Defensa Especial
Speed,Vitesse,Initiative,Velocità,すばやさ,스피드,Velocidad
Evasion,Esquive,Fluchtwert,Elusione,かいひ,회피율,Evasión
Accuracy,Précision,Genauigkeit,Precisione,めいちゅう,명중률,Precisión
Stats,Stat,Statuswert,Statistica,のうりょく,능력,Característica
Super effective,--,--,--,はつぐん,--,--
Not very effective,--,--,--,いまひとつ,--,--
Critical hit,--,--,--,きゅうしょ,--,--
Experience Points,Points Expérience,Erfahrungspunkte,Punti Esperienza,けいけんち,경험치,Puntos de Experiencia
Adaptability,Adaptabilité,Anpassung,Adattabilità,てきおうりょく,적응력,Adaptable
Aerilate,Peau Céleste,Zenithaut,Pellecielo,スカイスキン,스카이스킨,Piel Celeste
Aftermath,Boom Final,Finalschlag,Scoppio,ゆうばく,유폭,Resquicio
Air Lock,Air Lock,Klimaschutz,Riparo,エアロック,에어록,Bucle Aire
Analytic,Analyste,Analyse,Ponderazione,アナライズ,애널라이즈,Cálculo Final
Anger Point,Colérique,Kurzschluss,Grancollera,いかりのつぼ,분노의 경혈,Irascible
Anticipation,Anticipation,Vorahnung,Presagio,きけんよち,위험예지,Anticipación
Arena Trap,Piège,Ausweglos,Trappoarena,ありじごく,개미지옥,Trampa Arena
Aroma Veil,Aroma-Voile,Dufthülle,Aromavelo,アロマベール,아로마베일,Velo Aroma
Aura Break,Aura Inversée,Aura-Umkehr,Frangiaura,オーラブレイク,오라브레이크,Rompeaura
Bad Dreams,Mauvais Rêve,Alptraum,Sogniamari,ナイトメア,나이트메어,Mal Sueño
Battery,Batterie,Batterie,Batteria,バッテリー,배터리,Batería
Battle Armor,Armurbaston,Kampfpanzer,Lottascudo,カブトアーマー,전투 무장,Armadura Batalla
Battle Bond,Synergie,Freundschaftsakt,Morfosintonia,きずなへんげ,유대변화,Fuerte Afecto
Berserk,Dracolère,Wutausbruch,Furore,ぎゃくじょう,발끈,Cólera
Big Pecks,Cœur de Coq,Brustbieter,Pettinfuori,はとむね,부풀린가슴,Sacapecho
Blaze,Brasier,Großbrand,Aiutofuoco,もうか,맹화,Mar Llamas
Bulletproof,Pare-Balles,Kugelsicher,Antiproiettile,ぼうだん,방탄,Antibalas
Cheek Pouch,Bajoues,Backentaschen,Guancegonfie,ほおぶくろ,볼주머니,Carrillo
Chlorophyll,Chlorophylle,Chlorophyll,Clorofilla,ようりょくそ,엽록소,Clorofila
Clear Body,Corps Sain,Neutraltorso,Corpochiaro,クリアボディ,클리어 바디,Cuerpo Puro
Cloud Nine,Ciel Gris,Wolke Sieben,Antimeteo,ノーてんき,날씨 부정,Aclimatación
Color Change,Déguisement,Farbwechsel,Cambiacolore,へんしょく,변색,Cambio Color
Comatose,Hypersommeil,Dauerschlaf,Sonno Assoluto,ぜったいねむり,절대안깸,Letargo Perenne
